;MolecularWeight;XLogP;HBondDonorCount;HBondAcceptorCount;cluster;CID
475;390.29;-5.0;4;12;0;
476;244.14;-3.2;5;8;0;
477;228.14;-2.1;4;7;0;
478;500.08;-8.1;10;18;0;
479;500.08;-8.1;10;18;0;
480;278.37;-1.0;5;5;0;
481;302.23;0.5;5;7;0;
482;260.14;-4.3;6;9;0;
483;580.06;-9.2;11;21;0;
484;340.12;-5.0;7;12;0;
489;335.34;-4.3;5;9;0;
490;259.24;-2.4;6;9;0;
494;715.5;-9.5;11;21;0;
496;267.3;-4.4;5;8;0;
498;243.33;-0.3;3;3;0;
499;740.6;-6.2;12;18;0;
502;308.3;2.7;1;4;0;
503;422.9;4.3;2;5;0;
504;284.74;3.0;0;2;0;
505;324.4;3.2;0;4;0;
506;277.4;5.0;0;1;0;
507;360.4;1.6;3;5;0;
508;389.4;2.3;1;4;0;
509;481.5;1.6;3;10;0;
510;236.27;2.5;1;1;0;
511;277.4;2.9;1;3;0;
512;312.4;2.9;1;4;0;
513;379.5;4.3;0;4;0;
514;256.09;1.4;2;5;0;
515;324.4;3.2;0;4;0;
516;321.8;3.8;0;4;0;
517;488.6;2.5;1;8;0;
518;297.7;-0.1;3;7;0;
519;331.34;-1.1;2;7;0;
520;444.4;-0.7;6;9;0;
521;376.4;-0.1;2;6;0;
522;306.27;0.4;1;7;0;
523;494.0;4.8;3;5;0;
524;361.4;-0.4;1;8;0;
525;267.36;1.9;2;4;0;
526;230.26;3.3;1;3;0;
527;383.4;2.4;1;9;0;
528;331.3;3.1;2;6;0;
529;416.5;1.4;2;6;0;
530;314.41;0.3;2;7;0;
531;474.6;1.5;1;8;0;
532;416.6;2.9;0;5;0;
534;291.4;5.6;0;1;0;
535;339.36;-0.8;1;9;0;
536;263.37;2.6;1;3;0;
537;307.4;2.5;0;2;0;
538;448.4;4.6;1;4;0;
539;381.4;3.4;1;7;0;
541;206.28;3.5;1;2;0;
544;306.2;4.8;1;1;0;
545;405.5;-2.9;4;7;0;
546;408.9;3.0;2;7;0;
547;345.4;2.2;1;6;0;
548;309.33;4.0;1;5;0;
549;1202.6;7.5;5;12;0;
550;1449.2;-2.6;19;26;0;
551;804.0;2.7;3;12;0;
552;2180.3;-7.1;28;35;0;
553;1155.4;-3.3;18;18;0;
554;1019.2;1.0;13;14;0;
555;1069.2;-4.0;13;15;0;
556;3431.9;-16.6;52;55;0;
557;2639.2;-14.0;42;46;0;
558;832.0;-2.4;10;12;0;
559;1508.3;-14.7;19;52;0;
560;4187.0;-21.0;58;66;0;
561;1209.4;0.7;15;14;0;
562;842.0;1.1;8;12;0;
563;1793.1;1.5;20;29;0;
564;302.35;2.9;2;5;0;
565;1620.7;-5.1;22;28;0;
566;1269.4;-1.5;17;16;0;
567;1304.5;-6.4;15;18;0;
568;1096.3;2.5;13;14;0;
570;1270.3;-1.6;16;24;0;
571;3464.0;-16.7;56;55;0;
572;541.6;0.5;4;10;0;
573;1879.7;0.5;24;34;0;
574;4118.0;-18.7;60;62;0;
575;577.7;3.1;3;7;0;
576;508.6;1.3;5;8;0;
577;1093.3;0.3;16;18;0;
578;390.22;-0.1;2;4;0;
579;1239.4;-0.1;15;15;0;
580;1431.0;1.9;16;16;0;
581;730.7;-8.6;12;20;0;
