;MolecularWeight;XLogP;HBondDonorCount;HBondAcceptorCount;cluster;CID
5;156.14;-0.3;3;4;1;2771.0
6;75.11;-1.0;2;2;1;2160.0
7;169.07;-5.0;3;6;1;5755.0
9;163.18;0.2;1;4;1;446157.0
10;148.16;-0.4;3;4;1;444.0
13;98.96;1.5;0;0;1;135398745.0
14;142.11;0.8;4;4;1;3152.0
15;181.4;4.0;0;0;1;3878.0
19;169.13;-0.1;2;5;1;3639.0
20;192.12;-1.8;4;7;1;2764.0
21;154.12;1.2;3;4;1;54671203.0
22;182.17;1.0;3;4;1;5388962.0
23;146.14;-0.2;2;4;1;3365.0
24;132.11;-0.7;2;4;1;3488.0
25;185.13;-0.5;3;6;1;149096.0
30;157.12;-0.3;3;5;1;5362129.0
31;103.08;-3.7;2;4;1;3001055.0
32;141.12;-0.3;2;4;1;135398744.0
34;186.12;1.0;3;6;1;338.0
35;78.5;0.3;0;1;1;1549008.0
36;80.51;-0.1;1;1;1;5284627.0
37;176.55;0.3;1;4;1;33741.0
38;176.17;0.0;3;5;1;5732.0
39;178.14;-2.3;4;6;1;60795.0
40;146.14;-0.1;2;4;1;2662.0
41;128.13;0.6;0;3;1;2244.0
42;164.16;-1.6;4;5;1;3672.0
45;148.11;-1.0;3;5;1;68617.0
46;118.04;0.2;1;5;1;5362119.0
47;120.06;-1.1;3;5;1;2162.0
49;130.14;1.1;1;3;1;3386.0
50;145.11;-1.5;2;4;1;5284373.0
51;116.11;0.7;1;3;1;14969.0
52;194.14;-2.9;5;7;1;445643.0
53;146.1;-0.9;2;5;1;16129704.0
60;102.09;0.1;1;3;1;5282448.0
61;186.06;-2.6;4;7;1;53396299.0
65;132.16;-3.5;3;4;1;33309.0
66;181.01;0.6;2;2;1;21585658.0
67;179.0;2.7;2;2;1;139266768.0
68;163.0;3.1;1;1;1;5311128.0
69;192.12;-2.5;4;7;1;6918173.0
71;156.14;0.2;2;4;1;21888462.0
72;130.14;0.9;1;3;1;477468.0
73;160.12;-0.5;2;5;1;53395955.0
74;154.12;1.1;3;4;1;76374506.0
77;73.09;-1.3;1;2;1;3001322.0
79;176.17;-0.2;3;5;1;16119814.0
80;123.54;-2.8;2;3;1;24801581.0
81;104.11;0.2;0;2;1;50225.0
82;172.13;-1.4;3;5;1;25074887.0
85;152.04;-1.7;2;5;1;
87;162.21;-0.8;2;3;1;
88;153.14;0.9;3;4;1;
89;104.1;-0.4;2;3;1;
93;166.17;1.4;2;3;1;
95;160.12;-0.9;2;5;1;
97;194.14;-2.8;5;7;1;
98;102.09;-0.4;1;3;1;
100;120.13;0.0;2;4;1;
103;122.12;1.4;1;2;1;
104;124.14;0.5;2;2;1;
106;142.11;-0.3;1;4;1;
107;184.04;-2.1;3;7;1;
108;185.07;-5.1;4;7;1;
109;150.17;1.8;1;2;1;
110;137.14;-0.1;1;3;1;
111;153.16;-4.2;3;6;1;
112;152.13;-1.0;2;6;1;
113;132.12;-1.5;3;3;1;
116;165.19;0.6;1;3;1;
119;127.1;0.1;3;4;1;
120;87.12;-0.9;1;2;1;
121;103.12;-3.2;2;3;1;
122;140.09;0.0;1;4;1;
125;144.18;-2.1;3;2;1;
126;132.11;-0.6;2;4;1;
127;124.14;0.2;2;2;1;
128;122.12;1.4;1;2;1;
129;152.15;0.8;2;3;1;
130;156.14;-0.9;2;4;1;
131;100.16;1.3;0;1;1;
135;130.21;0.1;0;1;1;
136;146.21;0.1;1;2;1;
137;138.12;1.6;2;3;1;
139;131.13;-3.8;2;4;1;
140;117.15;-2.6;2;3;1;
147;192.12;-2.1;4;7;1;
157;170.13;-0.6;4;4;1;
158;136.15;0.3;2;4;1;
159;194.14;-3.0;5;7;1;
166;171.15;-3.5;2;5;1;
167;172.16;-2.2;3;5;1;
169;134.14;-0.9;0;2;1;
173;179.18;-1.9;4;2;1;
175;187.24;-2.2;2;4;1;
176;62.07;-1.4;2;2;1;
177;59.04;0.4;0;2;1;
178;60.05;-0.2;1;2;1;
179;44.05;-0.3;0;1;1;
180;59.07;-0.9;1;1;1;
181;88.11;-0.3;1;2;1;
182;58.08;-0.1;0;1;1;
187;189.17;-1.8;3;5;1;
188;140.03;-1.5;2;5;1;
189;146.21;0.2;0;2;1;
191;147.13;-3.5;2;5;1;
192;135.13;-0.1;2;4;1;
198;146.14;0.1;2;4;1;
201;130.19;-1.5;3;2;1;
205;176.13;-2.6;5;4;1;
206;158.12;-2.2;4;3;1;
207;119.12;-2.9;3;4;1;
208;180.16;-2.6;5;6;1;
209;145.16;-3.2;2;4;1;
217;73.09;-1.0;1;2;1;
220;195.18;-2.0;4;4;1;
221;117.1;-3.4;2;4;1;
224;17.031;-0.7;1;1;1;
225;18.039;-0.7;1;0;1;
228;79.038;-1.5;2;2;1;
229;137.14;1.2;2;3;1;
231;150.13;-2.5;4;5;1;
234;174.2;-4.2;4;4;1;
237;176.12;-1.8;4;6;1;
238;132.12;-3.4;3;4;1;
241;89.09;-3.0;2;3;1;
242;106.12;1.5;0;1;1;
243;78.11;2.1;0;0;1;
244;121.11;2.5;0;2;1;
245;122.12;1.9;1;2;1;
246;108.14;1.1;1;1;1;
249;117.15;0.5;0;2;1;
250;118.15;-0.1;1;2;1;
251;102.15;-0.2;0;1;1;
256;186.21;2.7;2;2;1;
261;79.9;1.0;0;1;1;
262;80.91;1.0;1;0;1;
263;72.11;0.9;0;1;1;
264;90.12;-0.9;2;2;1;
265;74.12;0.9;1;1;1;
266;88.11;0.8;1;2;1;
268;168.08;-0.7;2;5;1;
275;102.18;-0.6;2;2;1;
277;176.17;-4.8;4;5;1;
278;60.032;-0.1;1;2;1;
279;61.04;-0.8;2;2;1;
280;141.02;-2.1;3;5;1;
281;176.13;-1.9;4;5;1;
282;44.009;0.9;0;2;1;
283;28.01;0.7;0;1;1;
284;184.19;-0.7;3;4;1;
285;45.017;0.5;0;2;1;
286;46.025;-0.2;1;2;1;
287;90.06;-2.7;1;4;1;
288;91.07;-3.4;2;4;1;
290;161.2;-0.2;1;3;1;
291;110.11;0.9;2;2;1;
298;102.09;0.0;1;3;1;
299;16.043;0.6;0;0;1;
302;94.5;0.2;1;2;1;
303;144.55;1.4;2;2;1;
307;104.17;-0.4;1;1;1;
309;132.16;1.9;0;1;1;
310;134.17;1.9;1;1;1;
311;174.11;-1.0;3;6;1;
312;142.11;0.2;2;4;1;
313;192.12;-1.7;4;7;1;
314;35.45;0.8;0;1;1;
315;36.46;0.8;1;0;1;
324;164.16;1.5;2;3;1;
325;146.14;1.4;0;2;1;
327;150.22;2.3;1;1;1;
328;148.2;2.7;0;1;1;
330;168.15;0.3;3;4;1;
333;146.19;-3.6;3;4;1;
334;150.17;2.4;1;2;1;
337;108.14;2.0;1;1;1;
338;134.09;-2.0;4;4;1;
339;134.13;-2.0;3;4;1;
340;125.06;-4.8;3;4;1;
341;124.14;1.8;2;2;1;
343;108.14;2.0;1;1;1;
345;160.12;-2.6;3;5;1;
346;188.13;-0.6;3;6;1;
350;178.14;-2.2;4;6;1;
355;172.13;-0.1;2;5;1;
356;166.13;1.0;2;4;1;
357;114.23;3.9;0;0;1;
359;145.16;-3.2;2;4;1;
360;126.11;0.2;3;3;1;
362;128.13;-0.7;2;3;1;
363;162.18;0.8;2;2;1;
364;59.07;-1.2;1;2;1;
365;104.11;-4.3;3;4;1;
368;176.17;0.7;1;3;1;
369;159.27;-0.7;3;3;1;
371;170.12;0.7;4;5;1;
372;114.06;0.1;2;4;1;
373;184.1;-0.2;2;6;1;
377;146.14;-1.2;2;4;1;
380;144.21;3.0;1;2;1;
385;189.21;-1.6;3;5;1;
386;160.17;0.5;2;4;1;
390;132.16;-4.4;3;4;1;
393;146.19;-3.7;3;4;1;
398;174.2;0.8;2;1;1;
399;89.09;0.8;0;2;1;
400;186.12;-0.5;3;6;1;
401;149.15;1.1;1;2;1;
402;102.09;-1.5;2;3;1;
403;34.08;0.5;1;1;1;
404;109.13;0.0;2;2;1;
405;162.19;-3.0;4;5;1;
407;79.98;-1.8;0;3;1;
408;81.996;-1.6;2;3;1;
409;176.21;-0.3;0;2;1;
410;178.23;0.7;0;2;1;
413;148.2;0.2;1;2;1;
414;162.19;0.1;1;2;1;
415;192.21;-0.9;1;3;1;
416;192.21;-0.5;1;3;1;
418;176.55;0.6;2;4;1;
419;112.13;-0.1;2;2;1;
420;158.11;-0.6;2;5;1;
424;131.13;-3.7;2;4;1;
425;133.1;-2.8;3;5;1;
429;74.13;-1.4;2;2;1;
431;177.27;1.3;0;1;1;
432;161.22;0.2;0;1;1;
433;178.23;0.4;1;3;1;
434;192.21;-0.4;1;3;1;
435;178.23;0.3;1;3;1;
436;178.19;-0.8;1;3;1;
437;192.21;-0.3;1;3;1;
438;179.17;-0.1;1;4;1;
439;181.19;-0.1;2;4;1;
440;163.17;0.8;1;3;1;
442;104.1;-0.5;2;3;1;
448;156.56;2.7;1;2;1;
450;148.16;-1.0;3;4;1;
453;178.14;-3.3;5;6;1;
454;182.17;-3.1;6;6;1;
455;128.21;2.7;0;1;1;
457;132.08;-0.7;3;4;1;
458;137.16;-0.1;1;1;1;
459;164.25;-3.0;2;3;1;
461;124.14;1.3;1;2;1;
465;179.17;0.3;2;3;1;
470;161.16;-3.1;3;5;1;
471;118.13;-4.6;3;4;1;
474;148.18;0.3;1;4;1;
485;83.09;-0.3;2;2;1;
486;183.23;-0.9;0;4;1;
487;184.24;-0.8;1;4;1;
488;118.09;0.1;2;4;1;
491;124.03;-2.1;2;4;1;
492;192.2;-1.5;0;7;1;
493;194.2;-1.4;2;7;1;
495;180.22;-1.2;3;5;1;
497;187.28;-0.8;3;3;1;
500;129.11;-0.8;2;3;1;
501;145.16;-1.5;3;3;1;
533;138.12;2.3;2;3;1;
540;180.16;1.2;1;4;1;
542;129.16;-1.3;3;1;1;
543;151.16;0.5;2;2;1;
569;142.24;3.0;0;1;1;
