"CID";"MolecularWeight";"XLogP";"HBondDonorCount";"HBondAcceptorCount"
62857;345.8;"";2;5
54454;418.6;4.700;1;5
2118;308.8;2.100;0;3
1;203.24;0.4;0;4
2;204.24;-0.3;1;4
3;156.14;-0.300;3;4
4;75.11;-1.000;2;2
5;169.07;-5.0;3;6
6;202.55;2.300;0;4
7;163.18;0.200;1;4
8;148.16;-0.4;3;4
9;260.14;-4.8;7;9
10;473.4;-1.2;7;9
11;98.96;1.500;0;0
12;142.11;0.800;4;4
13;181.4;4.000;0;0
14;352.5;3.100;2;5
15;290.4;3.700;1;2
16;226.32;0.6;2;2
17;169.13;-0.1;2;5
18;192.12;-1.8;4;7
19;154.12;1.200;3;4
20;182.17;1.0;3;4
21;146.14;-0.200;2;4
22;132.11;-0.7;2;4
23;185.13;-0.5;3;6
24;323.26;-4.5;9;11
25;289.25;-3.3;8;8
26;269.21;-2.7;4;8
27;527.17;-6.9;10;17
28;157.12;-0.3;3;5
29;103.08;-3.7;2;4
30;141.12;-0.3;2;4
31;216.13;-3.3;5;7
32;186.12;1.0;3;6
33;78.50;0.3;0;1
34;80.51;-0.100;1;1
35;176.55;0.3;1;4
36;176.17;0.0;3;5
37;178.14;-2.3;4;6
38;146.14;-0.1;2;4
39;128.13;0.6;0;3
40;164.16;-1.6;4;5
41;242.19;-1.0;3;7
42;214.17;-0.4;3;6
43;148.11;-1.0;3;5
44;118.04;0.2;1;5
45;120.06;-1.1;3;5
46;258.12;-3.4;5;9
47;130.14;1.1;1;3
48;145.11;-1.5;2;4
49;116.11;0.7;1;3
50;194.14;-2.9;5;7
51;146.10;-0.9;2;5
52;867.7;-5.4;10;23
53;865.6;-5.2;9;23
54;851.7;-4.2;9;22
55;655.0;16.1;2;2
56;655.0;15.8;1;2
57;639.0;16.600;1;1
58;102.09;0.1;1;3
59;186.06;-2.6;4;7
60;601.29;-7.7;9;17
61;266.04;-3.7;5;10
62;199.5;1.9;1;1
63;132.16;-3.5;3;4
64;181.01;0.6;2;2
65;179.00;2.700;2;2
66;163.00;3.100;1;1
67;192.12;-2.5;4;7
68;278.09;-2.8;4;9
69;156.14;0.2;2;4
70;130.14;0.9;1;3
71;160.12;-0.5;2;5
72;154.12;1.100;3;4
73;427.20;-4.600;6;14
74;851.6;-5.800;9;23
75;73.09;-1.3;1;2
76;288.4;3.200;1;2
77;176.17;-0.2;3;5
78;123.54;-2.8;2;3
79;104.11;0.200;0;2
80;172.13;-1.400;3;5
81;288.15;-4.0;6;10
82;324.18;-1.8;5;10
83;152.04;-1.7;2;5
84;911.7;-6.6;11;25
85;162.21;-0.8;2;3
86;153.14;0.900;3;4
87;104.10;-0.4;2;3
88;853.6;-5.8;10;23
89;224.21;-2.5;4;6
90;911.7;-6.5;11;25
91;166.17;1.400;2;3
92;340.4;1.800;2;5
93;160.12;-0.9;2;5
94;909.6;-6.4;10;25
95;194.14;-2.8;5;7
96;102.09;-0.4;1;3
97;340.28;-4.3;7;11
98;120.13;0.0;2;4
99;849.6;-4.200;9;22
100;683.1;16.0;2;3
101;122.12;1.400;1;2
102;124.14;0.500;2;2
103;1156.1;-2.300;11;25
104;142.11;-0.300;1;4
105;184.04;-2.1;3;7
106;185.07;-5.1;4;7
107;150.17;1.800;1;2
108;137.14;-0.100;1;3
109;153.16;-4.2;3;6
110;152.13;-1.0;2;6
111;132.12;-1.5;3;3
112;213.06;-2.1;3;8
113;214.07;-2.7;4;8
114;165.19;0.600;1;3
115;229.13;-6.2;5;8
116;225.20;-2.3;3;6
117;127.10;0.1;3;4
118;87.12;-0.9;1;2
119;103.12;-3.200;2;3
120;140.09;0.000;1;4
121;521.31;-5.700;8;14
122;200.14;-0.7;2;6
123;144.18;-2.1;3;2
124;132.11;-0.6;2;4
125;124.14;0.200;2;2
126;122.12;1.400;1;2
127;152.15;0.800;2;3
128;156.14;-0.9;2;4
129;100.16;1.3;0;1
130;220.13;-1.800;4;8
131;299.21;-2.2;5;8
132;402.36;-2.5;7;10
133;130.21;0.1;0;1
134;146.21;0.1;1;2
135;138.12;1.600;2;3
136;456.4;-1.7;6;7
137;131.13;-3.8;2;4
138;117.15;-2.600;2;3
139;420.7;6.7;3;3
140;436.7;5.3;4;4
141;534.26;-6.1;7;16
142;251.24;-0.600;3;7
143;473.4;-1.2;7;9
144;220.22;-1.200;4;4
145;192.12;-2.1;4;7
146;459.5;-0.5;7;9
147;350.24;"";4;6
148;303.34;-1.300;5;7
149;297.34;-0.300;3;8
150;229.13;-6.2;5;8
151;314.19;-4.3;6;9
152;286.18;-6.8;6;9
153;295.19;-3.6;5;9
154;313.20;-4.6;6;9
155;170.13;-0.6;4;4
156;136.15;0.3;2;4
157;194.14;-3.0;5;7
158;352.5;2.800;3;5
159;352.5;2.9;3;5
160;354.5;2.700;4;5
161;497.19;-9.6;9;16
162;216.26;-2.100;2;5
163;909.7;-5.0;10;24
164;171.15;-3.500;2;5
165;172.16;-2.2;3;5
166;239.23;-3.0;4;6
167;134.14;-0.9;0;2
168;422.28;-6.4;9;14
169;336.5;4.1;3;4
170;314.30;-0.1;5;6
171;179.18;-1.9;4;2
172;384.6;8.0;1;1
173;187.24;-2.2;2;4
174;62.07;-1.400;2;2
175;59.04;0.4;0;2
176;60.05;-0.2;1;2
177;44.05;-0.3;0;1
178;59.07;-0.9;1;1
179;88.11;-0.300;1;2
180;58.08;-0.1;0;1
181;809.6;-5.600;9;22
182;1130.5;15.8;6;12
183;1333.6;13.7;9;17
184;335.31;-5.7;7;9
185;189.17;-1.800;3;5
186;140.03;-1.500;2;5
187;146.21;0.2;0;2
188;384.33;-4.2;7;12
189;147.13;-3.5;2;5
190;135.13;-0.100;2;4
191;267.24;-1.100;4;8
192;559.32;-6.100;8;18
193;384.41;-3.500;5;11
194;836.4;-8.300;10;27
195;463.29;-3.200;7;15
196;146.14;0.100;2;4
197;427.20;-4.600;6;14
198;589.3;-6.200;9;19
199;130.19;-1.5;3;2
200;338.21;-3.8;6;10
201;654.8;10.0;3;7
202;586.7;8.1;3;7
203;176.13;-2.6;5;4
204;158.12;-2.2;4;3
205;119.12;-2.900;3;4
206;180.16;-2.6;5;6
207;145.16;-3.200;2;4
208;260.14;-4.2;6;9
209;1032.9;-11.1;18;26
210;674.6;-7.8;13;19
211;278.30;0.6;3;5
212;358.28;-1.1;4;8
213;352.5;3.4;2;5
214;354.5;3.200;3;5
215;73.09;-1.0;1;2
216;219.14;-1.7;3;7
217;299.12;-2.8;4;10
218;195.18;-2.000;4;4
219;117.10;-3.4;2;4
220;261.28;2.600;1;5
221;276.25;-3.2;8;8
222;17.031;-0.7;1;1
223;18.039;-0.7;1;0
224;347.22;-3.500;5;11
225;290.4;3.700;1;2
226;79.038;-1.5;2;2
227;137.14;1.200;2;3
228;427.29;-3.900;5;14
229;150.13;-2.5;4;5
230;230.11;-3.400;5;8
231;304.5;6.3;1;2
232;174.20;-4.200;4;4
233;139.927;"";1;4
234;141.943;"";3;4
235;176.12;-1.800;4;6
236;132.12;-3.400;3;4
237;400.0;6.0;1;4
238;507.18;-5.700;7;17
239;89.09;-3.000;2;3
240;106.12;1.500;0;1
241;78.11;2.100;0;0
242;121.11;2.500;0;2
243;122.12;1.900;1;2
244;108.14;1.100;1;1
245;383.35;-4.7;8;11
246;370.5;3.300;1;5
247;117.15;0.5;0;2
248;118.15;-0.1;1;2
249;102.15;-0.2;0;1
250;584.7;2.9;6;6
251;582.6;2.5;5;7
252;239.23;-2.200;5;5
253;244.31;0.3;3;4
254;186.21;2.700;2;2
255;340.18;1.000;1;8
256;1325.7;16.0;11;20
257;711.9;7.2;7;12
258;422.4;-5.2;6;7
259;79.90;1.0;0;1
260;80.91;1.0;1;0
261;72.11;0.900;0;1
262;90.12;-0.900;2;2
